Date,Revenue,Profit,Employee Count,Customer Satisfaction,Market Share,Innovation Score
2004-01-31,48117423.02334897,9994800.832718816,787,75.13721372436851,4.9075114801920074,59.55527781339729
2004-02-29,51190024.44274703,10910319.919325741,800,74.10953031136997,5.425311387472826,60.24173551793147
2004-03-31,53268333.693338476,10552845.576560669,809,74.68281131820233,5.397921597669307,60.01164444833981
2004-04-30,52906970.74483162,10567778.957075832,830,75.5534353540098,4.979623243994535,60.71457102782645
2004-05-31,53765843.30091386,11182817.398490964,820,75.70649385073942,5.24848115127724,60.97980951613729
2004-06-30,60289904.33120119,11770522.001258055,853,75.62331903913466,5.389385468778706,61.332634383513565
2004-07-31,59505486.26433188,12283702.352685576,858,75.2740539862001,5.649176640801205,60.88486812999233
2004-08-31,59349625.07968002,11628462.582501838,852,75.887334336877,5.793699932836356,60.35264259520532
2004-09-30,60069766.891672984,12456712.930745637,881,75.85311455861694,5.686683165205005,60.97937160906125
2004-10-31,61534231.69734397,12994065.211255796,871,76.02590982508237,5.549115646521451,61.03224121624756
2004-11-30,63601694.50489016,12305249.85886075,906,76.13500797730863,5.827313718886581,60.951821493421185
2004-12-31,65003869.00535448,12658243.018370222,895,76.29360283449469,5.394363750419638,61.70045019760289
2005-01-31,65974723.03273472,13239786.410491565,931,76.90142086175258,6.08733095737965,62.13293962226068
2005-02-28,68733099.92557913,13757826.590648679,942,75.30431696393761,5.966499874001734,60.56559292667438
2005-03-31,68219277.14530325,14054516.54117144,927,76.25474931637594,6.202809052816034,62.02753921434364
2005-04-30,71018763.6967168,13330511.502996802,941,76.93733729417215,6.30011269136604,62.30770660310594
2005-05-31,73196929.90323733,14354424.771161305,949,76.48736330444459,6.310087583177025,62.314024982184826
2005-06-30,73885625.6568247,14861548.509035807,945,76.46652382676955,6.302253617190424,62.16543415828572
2005-07-31,74521309.26070598,14899521.312938279,954,76.60337622223261,6.789122561670109,62.2444914186546
2005-08-31,74938623.9122304,16220569.896400034,975,76.806562605368,6.384573855844806,62.20117274881303
2005-09-30,79545271.62416123,15669082.982330836,1004,77.50271055968781,6.455866751833422,63.53998930739486
2005-10-31,79807227.39114317,16301052.986267082,1003,77.09660940639456,6.506745567701263,62.577377940850276
2005-11-30,79471324.07589997,15923044.446023308,1027,77.08852756810542,6.498854056392004,63.408444636300906
2005-12-31,82390608.49124362,16848652.23279521,1038,76.79025919312214,6.748552612697983,63.150156339337336
2006-01-31,84688314.18700331,16856302.643730152,1043,77.52684346730533,6.7841360685328,63.048560038277394
2006-02-28,83946473.8763549,17717019.142946355,1028,77.91025510208455,6.805809637753689,63.6992638059301
2006-03-31,86341742.5793212,17269683.783706218,1028,77.80734924087761,7.209828433731474,63.22454456816982
2006-04-30,87771884.86090197,17800606.585874286,1076,76.97325769371562,7.127489768186962,63.23622577734503
2006-05-31,90287953.21961464,17582704.296765782,1077,77.32815873228435,6.897341310546333,63.38551513273292
2006-06-30,90673921.37010425,18681682.356560983,1092,77.86215691535477,7.248442244574426,64.00077625281777
2006-07-31,91305196.09186229,19251440.94956282,1079,77.29086938297888,7.402486558438192,63.747318613251366
2006-08-31,93805116.56297895,18704119.142998654,1087,77.5519143037687,7.496690660882384,64.7429418277715
2006-09-30,94615772.26829094,19002039.73076775,1092,77.9789304408413,7.397667841879834,64.82958747815634
2006-10-31,94625343.06955932,18176239.3974912,1098,77.51884201565609,7.856544252384813,64.15774101545246
2006-11-30,97520942.07316358,19918151.055436894,1122,78.68774658789643,7.800377261315218,65.19725171408668
2006-12-31,99833468.01392548,19679068.363490246,1148,78.36283884113521,7.479538129267567,64.44424402940113
2007-01-31,99371907.45164177,19863336.080085784,1146,78.7929631904035,7.936922996934179,65.11021899200387
2007-02-28,99843819.37492898,20207482.185885135,1138,78.90812032878361,8.03473618346689,65.22537778304469
2007-03-31,102377592.96658558,20536980.040871162,1171,78.47107742715039,7.844151997398997,65.48057093442188
2007-04-30,103848700.81470789,20967772.473077375,1175,78.45765005099543,8.166690889091145,65.76372528371311
2007-05-31,107129563.67584072,22227212.847717445,1186,78.33874739167001,8.34072931089953,65.66501450259173
2007-06-30,105345486.74636248,22065214.855610088,1176,78.88283078662019,8.329290688123757,65.44346205507492
2007-07-31,108571895.25848608,21372322.186084673,1191,78.56508890830156,8.072204704993316,65.91100124893921
2007-08-31,109810639.51217376,22999832.07376824,1230,78.6841833716536,8.439495299581024,65.88138916351977
2007-09-30,111332563.63671853,21705774.57133882,1204,79.76606914659995,8.346889579953196,66.59856423881307
2007-10-31,111040285.30722994,21984446.890894122,1238,79.73019771033309,8.552156079649652,65.8669284379601
2007-11-30,115641365.42887776,22954448.945927612,1233,78.95819162942081,8.379818806944444,66.33013830783365
2007-12-31,114965279.114895,23075383.453994874,1263,78.65959411794512,8.454591882664253,66.43108196166581
2008-01-31,116851259.95539227,22515109.16173954,1274,79.91739572962612,8.896316990668621,66.87215253181799
2008-02-29,118799524.85628629,23648205.725113846,1251,79.53504950560774,9.00152670033835,66.33778974878989
2008-03-31,119803756.69913307,23467365.902850233,1290,79.54519756751901,8.883746749899451,67.09759401833017
2008-04-30,120706660.90544546,24058152.311036028,1293,79.90981655298762,9.02467159310117,66.69527525357734
2008-05-31,121347233.75478932,24855162.930578396,1297,79.87582922025472,9.322618108327475,67.0832600989025
2008-06-30,124567491.19401154,24947961.089357875,1318,79.61749367845529,9.055734241606334,67.22601999927682
2008-07-31,124213931.27668923,24929229.34588607,1325,79.7815767363517,9.374261195054936,67.85159801861003
2008-08-31,127890783.6916172,25981154.381460942,1343,80.22631628215488,9.276968799533432,67.80038467014202
2008-09-30,129154221.54376748,25408320.010603543,1315,80.095265571714,9.475198003832054,67.68651482896556
2008-10-31,129125385.75956652,26272902.747275226,1333,80.09050864702996,9.731019535438337,68.22721400974388
2008-11-30,130919766.14925201,26286954.214017347,1342,80.23078387889352,10.002687363617788,68.63805783001514
2008-12-31,131936640.53342557,25561435.45076768,1367,80.60547622781681,9.718782218270444,67.85156136430084
2009-01-31,132899801.04585527,26541889.756288942,1360,81.16551174786117,10.101652748764906,68.26247425008022
2009-02-28,134010893.01505886,26449718.164071515,1395,81.40077153163432,10.161903252143471,68.51955215559926
2009-03-31,135641149.1609956,27023811.007057216,1398,81.12797578182494,9.89320033717793,68.62929410791229
2009-04-30,137410329.5859681,28702065.708065778,1386,80.88763489601428,10.111655303172538,68.58992508507491
2009-05-31,138238981.0566372,27794923.722881056,1410,81.42215154733037,10.06501370192485,68.32014002159711
2009-06-30,142341475.70657718,28340875.47144089,1413,80.60987812560086,10.498102403532487,69.46194830158295
2009-07-31,142856576.03695634,28678616.780846734,1430,80.21493256942671,9.835611581150282,68.71522648018545
2009-08-31,143134122.6987199,29730645.430208404,1434,82.09794214881063,10.398680213883173,69.2985348184802
2009-09-30,145596818.7394264,28425887.398819216,1437,81.25170328153301,10.165567309289166,69.76882312177227
2009-10-31,145154085.50424004,29091632.50965898,1445,82.43124926173049,10.591941472783065,69.35693768869726
2009-11-30,147679906.78127998,29417177.990638047,1477,82.23517817212021,10.344302659770738,70.16610293354061
2009-12-31,150713293.17458993,29716932.290632416,1476,82.49478835252933,10.63454290195073,69.60194853091677
2010-01-31,150350742.55876097,31009624.906566247,1471,82.55506178923952,10.61883729387143,69.55363934836427
2010-02-28,152361513.22838703,29702386.490688387,1505,81.99880356921538,11.180309057329719,69.63720751873907
2010-03-31,153072538.59361377,31471365.89332003,1501,82.76837457524991,10.96388403169093,69.9673926202925
2010-04-30,155298616.45869163,30304366.83693036,1534,81.69861655748774,11.0600495867235,70.21621492729179
2010-05-31,154267292.75115174,31721215.940276396,1523,82.55822949278875,11.006776492562679,70.50954151310171
2010-06-30,158359539.03956553,31277334.876813095,1538,82.44592271563693,11.179252305946042,70.42558824793812
2010-07-31,158330685.21053657,31406581.97163679,1558,82.44261422341349,11.639885149445494,71.04096293325175
2010-08-31,158146301.10133132,31624035.76517771,1565,81.87651705752278,11.362379417259023,71.01478879296712
2010-09-30,162423391.64070585,32205506.765078872,1581,82.87763585174905,11.25724677333444,71.61816859573459
2010-10-31,162881210.59968945,33425568.431235395,1574,82.73964287396265,11.420417400078673,71.3602972336062
2010-11-30,163915099.3501825,33292788.192688156,1603,82.55948728718735,11.550191789566274,71.87341193288033
2010-12-31,165333497.2678442,33123669.288886633,1600,83.66463697316729,11.750883288535022,71.16111728552463
2011-01-31,167159593.23146227,33332260.19271738,1619,84.05487461575858,11.931248077692059,72.52193709609844
2011-02-28,168316934.07704347,34475915.500411384,1606,83.59851179697954,11.536205257986461,71.78175064031677
2011-03-31,171089041.08316025,33706078.63383236,1606,82.91031346023917,12.053711543743528,71.78561088677215
2011-04-30,171560329.04409212,34523970.36102232,1614,83.94631276369668,11.788882741204763,72.4689771577117
2011-05-31,172180979.45707038,34298589.907849655,1646,83.01053523398701,11.922674265671985,72.20258419694021
2011-06-30,173916309.48517242,34289485.66958524,1651,83.63712385976129,12.141115785102166,72.13968362923754
2011-07-31,175705297.36600798,35127408.094295956,1651,84.09102667169248,12.164074247081187,72.88401863099135
2011-08-31,174901020.22678682,34472752.80161889,1664,82.74328439649845,12.43613962151767,72.90995549363359
2011-09-30,176545688.24849704,35101341.02556564,1686,83.00365071602445,11.940921070655131,73.1489720675516
2011-10-31,180111126.1833559,36204878.29204828,1694,83.34951670602918,12.63890767488589,72.74551385021118
2011-11-30,180189920.08519667,36329347.50909078,1692,84.00993252519399,12.657983896027078,73.0925768844252
2011-12-31,181654344.71633258,36461415.28195664,1702,84.21159530981036,12.278661643581849,73.53438792340346
2012-01-31,184141294.69114468,37372339.46183408,1734,84.49323072509266,12.75689494042725,73.27799949749804
2012-02-29,186223668.06890622,37008803.3634945,1714,83.48529114820677,12.641954318721352,74.02612448409216
2012-03-31,188583541.16388124,37760107.841651686,1728,84.2748588021269,12.805844855627344,73.39206776650309
2012-04-30,186624113.59197867,38556745.08010101,1762,85.01822930251343,12.843665915768746,73.63513907996577
2012-05-31,190528707.9358411,37967643.39814738,1762,84.76871092024221,12.829369938505044,74.10700544642444
2012-06-30,192567236.48649886,38613806.28127879,1764,85.18491941163532,13.241226629282218,74.1220347097113
2012-07-31,192484020.74201828,39231105.61640596,1766,84.5983519236604,13.138552129202123,74.42247876939909
2012-08-31,192357116.20598266,38389074.0953849,1781,84.70809024249719,13.004430252447737,74.75291458519833
2012-09-30,195214401.3410498,39004970.18267504,1806,84.48643952801996,12.924815899195277,74.29068895505849
2012-10-31,195295588.79057702,38498160.47042556,1807,84.47873251611003,13.573818225645235,75.09690830574532
2012-11-30,198119838.682975,39856882.40197749,1823,84.73020193704654,13.226411223516136,74.7542574948568
2012-12-31,198664955.66952267,39640798.02821088,1825,84.96198080127829,13.520767252231204,74.8329813680147
2013-01-31,201795471.3994272,39927663.091536835,1835,85.3709149686186,13.606667916186257,75.08236477210235
2013-02-28,201921204.68278292,40077612.94989467,1843,84.67527388487385,13.646881784740165,75.55796688834722
2013-03-31,202571261.91865256,41101638.26567909,1846,85.27707640734494,14.026848074926916,75.85932497684719
2013-04-30,203548873.31151992,40589570.72097055,1871,85.12095534321901,13.845539694672286,74.83314263467318
2013-05-31,206007729.2285159,41360711.21646268,1865,85.45534165589977,13.865174104272326,75.4955003875462
2013-06-30,205633981.872146,41262105.85395413,1882,84.79671734120181,14.071734706132752,75.6438453062613
2013-07-31,210830168.056561,42357528.62855979,1884,86.11841627159053,14.133892763921507,75.71876327192945
2013-08-31,209888624.17241257,41996723.92744445,1895,85.9889913430928,14.200949717771966,76.33027883620902
2013-09-30,212291354.2613686,42247004.78569329,1889,86.94679079913645,14.011186703537184,75.97425606961868
2013-10-31,211641292.00711158,42738107.64661243,1908,86.10309824986423,14.132530982159246,76.22716447012519
2013-11-30,215976456.3421741,42692935.94251593,1938,86.66915746078165,14.407801219199442,76.76567636306774
2013-12-31,215480310.9458412,43475609.49313452,1952,85.76329187698585,14.492834229535578,76.5920399915847
2014-01-31,215319087.48750323,43461832.31197954,1931,85.91591152412933,14.475419675172272,76.9620220743076
2014-02-28,218482044.67393312,43931901.25411663,1966,86.76518022757082,14.773497915858544,77.21313617396164
2014-03-31,221417652.46514827,44043797.40291114,1972,86.36566095546117,14.554688878726846,77.07289482748617
2014-04-30,222458938.38288462,45281448.287506066,1985,85.40982898638923,15.01178508272973,77.74389596106514
2014-05-31,221749266.83302125,44989812.96359163,1995,86.44934101645357,14.773075712639116,77.59631423822796
2014-06-30,224380169.64329487,44918726.86756285,1990,86.86447990123533,15.018884645377742,77.53270937852407
